coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
05fab633-ecc1-470a-ab1a-20552c99a495,,,preservedspecimen,,pontia occidentalis,ypm ent 723645,insecta,ent,,,charles g. oliver,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,5000,united states,usa,gunnison county,7ddf754f-d193-4cc9-b351-99906754a03b,1966-07-28T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.30434782608695654,,,,,,04128dd74cc5de1863d65926ba70a9590f2483ac,1966-07-28,pieridae,,"[""geopoint_low_precision"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 38.94999142411776, ""lon"": -106.98060055461222}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,gothic,,,,,,,3353,,urn:uuid:cabca8a5-6bfc-499d-b744-d2efe0a78d9d,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:cabca8a5-6bfc-499d-b744-d2efe0a78d9d""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,209,colorado,5137791,accepted,species,,05fab633-ecc1-470a-ab1a-20552c99a495,,,,
65cf082a-8313-4027-8b27-9842d4f28383,,,preservedspecimen,,pontia occidentalis,ent25531,insecta,ent,http://grbio.org/cool/9ys7-j5pk,,,,,north america,,united states,usa,humboldt,7ddf754f-d193-4cc9-b351-99906754a03b,1995-08-08T00:00:00+00:00,2019-03-26T17:34:58.822692+00:00,0.2898550724637681,,,,,,1c084eea68ff3c4ecba6e067d3ae55d1642a4558,8/8/1995,pieridae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_scientificnameauthorship_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,pontia,,,,false,false,animalia | arthropoda | hexapoda | insecta | lepidoptera | papilionoidea | pieridae | pierinae | pierini | pierina,,,,milwaukee public museum (mpm),http://grbio.org/cool/7hds-psx6,,animalia,,,,,,,"quinn river valley, 3.8 miles south of orovada, along highway 95.",,,,,,,,,bf9ab129-6ce8-4450-94c1-d82383bce1f1,lepidoptera,arthropoda,"[""f885076c-a7ae-4a7b-9769-3f733c6a9ecf\\bf9ab129-6ce8-4450-94c1-d82383bce1f1""]",,f885076c-a7ae-4a7b-9769-3f733c6a9ecf,pontia occidentalis,occidentalis,220,nevada,5137791,accepted,species,,65cf082a-8313-4027-8b27-9842d4f28383,,w along rt. 95 / 3.8 mi. s orovada / quinn river valley / humboldt co. n nv,,
98e61c1f-64f0-4afe-8867-4e18e51bd82f,,,preservedspecimen,,pontia occidentalis,iz107814,insecta,ent,http://grbio.org/cool/9ys7-j5pk,,a. h. moeck,,,north america,,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1939-07-19T00:00:00+00:00,2019-03-26T17:34:58.822692+00:00,0.2898550724637681,,,,,,45bcc9ca34f3d2d14537f418e341d85f10c12820,7/19/1939,pieridae,,"[""dwc_taxonrank_added"", ""dwc_multimedia_added"", ""dwc_scientificnameauthorship_added"", ""gbif_canonicalname_added"", ""dwc_taxonomicstatus_added"", ""gbif_genericname_added"", ""dwc_datasetid_added"", ""dwc_originalnameusageid_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonid_added""]",,pontia,,,,false,false,animalia | arthropoda | hexapoda | insecta | lepidoptera | papilionoidea | pieridae | pierinae | pierini | pierina,,,,milwaukee public museum (mpm),http://grbio.org/cool/7hds-psx6,,animalia,,,,,,,"highway 1, west of winnipeg.",,,,,,,,,003c94c2-a74a-4ff1-bc79-cd4619756e56,lepidoptera,arthropoda,"[""f885076c-a7ae-4a7b-9769-3f733c6a9ecf\\003c94c2-a74a-4ff1-bc79-cd4619756e56""]",moeck 6090,f885076c-a7ae-4a7b-9769-3f733c6a9ecf,pontia occidentalis,occidentalis,200,manitoba,5137791,accepted,species,,98e61c1f-64f0-4afe-8867-4e18e51bd82f,,,,
8dffaebd-89ca-41ff-9be4-2bbd2376524b,,,preservedspecimen,,pontia occidentalis,ypm ent 723794,insecta,ent,,,russell a. rahn,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,301,united states,usa,johnson county,7ddf754f-d193-4cc9-b351-99906754a03b,1981-07-20T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,c3e434e3b348b200b05af8255065c31bffc63c2c,1981-07-20,pieridae,,"[""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 44.161525, ""lon"": -106.921641}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,"crazy woman campground, bighorn mountains",,,,,,,2560,,urn:uuid:36aa965c-b1a2-462b-9473-c6cee3dbbf3e,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:36aa965c-b1a2-462b-9473-c6cee3dbbf3e""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,201,wyoming,5137791,accepted,species,,8dffaebd-89ca-41ff-9be4-2bbd2376524b,,,,
d0777594-09b7-4a0f-9232-663e10323165,,,preservedspecimen,,pontia occidentalis,ypm ent 432661,insecta,ent,,,david l. threatful,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3785,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1987-06-17T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,875fcb27b63110f0f16f318056419e8df9f60a35,1987-06-17,pieridae,,"[""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 49.91633, ""lon"": -119.628241}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,20,,ypm,,,animalia,,,,,,,"mcdougall creek, carrot mountain rd., westbank",,,,,,,1036,,urn:uuid:1f4b98a0-d538-4861-9286-9b03569fd12d,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:1f4b98a0-d538-4861-9286-9b03569fd12d""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,168,british columbia,5137791,accepted,species,,d0777594-09b7-4a0f-9232-663e10323165,,,,
24d590cf-d253-4cd0-ab04-cb342be90c1f,,,preservedspecimen,,pontia occidentalis,ypm ent 432646,insecta,ent,,,charles g. oliver,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,90,united states,usa,gunnison county,7ddf754f-d193-4cc9-b351-99906754a03b,1967-07-02T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,35ed547deae6615dce21a18d7bef8cebd35959a7,1967-07-02,pieridae,,"[""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 38.689162, ""lon"": -106.484194}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,5,,ypm,,,animalia,,,,,,,cumberland pass,,,,,,,3688,,urn:uuid:b46b8aa7-3cd1-4fec-b8a6-8210961b3fac,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:b46b8aa7-3cd1-4fec-b8a6-8210961b3fac""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,183,colorado,5137791,accepted,species,,24d590cf-d253-4cd0-ab04-cb342be90c1f,,,,
095ddf57-ab76-4eb6-97c1-daad8ca9d580,,,preservedspecimen,,pontia occidentalis,ypm ent 723635,insecta,ent,,,charles g. oliver,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,90,united states,usa,gunnison county,7ddf754f-d193-4cc9-b351-99906754a03b,1967-07-12T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,03401da0e15bb704b2dc9c8ac7fd8e32abf520cc,1967-07-12,pieridae,,"[""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 38.689162, ""lon"": -106.484194}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,cumberland pass,,,,,,,3688,,urn:uuid:eb2adfe1-29ed-4f6d-b491-5a471b6d5c42,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:eb2adfe1-29ed-4f6d-b491-5a471b6d5c42""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,193,colorado,5137791,accepted,species,,095ddf57-ab76-4eb6-97c1-daad8ca9d580,,,,
05de020f-197c-42c9-ab4d-83555e0d19a8,,,preservedspecimen,,pontia occidentalis,ypm ent 723691,insecta,ent,,,pardon s. remington,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,2120,united states,usa,clear creek county,7ddf754f-d193-4cc9-b351-99906754a03b,1949-07-16T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,b3e920eaea4d0783b34d13d8b9fa17fcb848ae87,1949-07-16,pieridae,,"[""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 39.798305, ""lon"": -105.777777}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,berthoud pass,,,,,,,3449,,urn:uuid:53700a68-5793-4651-b7a9-cdc25bae7f3f,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:53700a68-5793-4651-b7a9-cdc25bae7f3f""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,197,colorado,5137791,accepted,species,,05de020f-197c-42c9-ab4d-83555e0d19a8,,,,
8995ad8b-d9e9-4091-8b51-c96b6b43188b,,,preservedspecimen,,pontia occidentalis,ypm ent 723944,insecta,ent,,,douglas c. ferguson,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3142,united states,usa,sweet grass county,7ddf754f-d193-4cc9-b351-99906754a03b,1966-07-03T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.3188405797101449,,,,,,c8a1d09d0dac6003de76ecdf68d5cfd69b526ec4,1966-07-03,pieridae,,"[""gbif_vernacularname_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 45.840262, ""lon"": -109.959527}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,"big timber canyon, half moon park, crazy mountains",,,,"[""a82328c4-ddd2-47b6-b7f8-e98811b775f7""]",,,1981,,urn:uuid:627fe7a9-d4b1-4ba3-9018-bf275c5ec6a4,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:627fe7a9-d4b1-4ba3-9018-bf275c5ec6a4""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,184,montana,5137791,accepted,species,,8995ad8b-d9e9-4091-8b51-c96b6b43188b,,,,
52cb1457-6ba1-4ba4-b835-b635c83e0ac4,,,preservedspecimen,,pontia occidentalis,ypm ent 432638,insecta,ent,,,c. r. crowe,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,161,united states,usa,harney county,7ddf754f-d193-4cc9-b351-99906754a03b,1965-04-04T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2898550724637681,,,,,,5cade5d3af71925c623e558a38f29bed09641374,1965-04-04,pieridae,,"[""geopoint_low_precision"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_country_replaced"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced""]",,pontia,,"{""lat"": 42.25992482557047, ""lon"": -118.67102501581319}",,false,false,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,2,,ypm,,,animalia,,,,,,,fields,,,,,,,,,urn:uuid:d6cd8055-37a5-49bb-abb9-b3110a7bd3a0,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:d6cd8055-37a5-49bb-abb9-b3110a7bd3a0""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pontia occidentalis,occidentalis,94,oregon,5137791,accepted,species,,52cb1457-6ba1-4ba4-b835-b635c83e0ac4,,,,
