coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedObservationReference,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:temporal,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedOccurrences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:preparations,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,symbiota:recordID,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
ce0b172d-a331-4d0e-b652-8f45c8e3a6d3,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076925,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:c982c9bf-cbcb-47ef-9f63-a9cf212b24f3,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:52:53,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
010563bb-6ed1-4223-b29d-1498213fa8ff,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076944,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:9fd70708-7b3b-48f5-9295-47219d4d4532,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:05,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
010563bb-6ed1-4223-b29d-1498213fa8ff,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076944,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:17523e2c-69eb-4db7-8514-9c9f14c422da,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:06,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
24c0522f-da97-4ca6-acf8-7363096c4ebb,,,,,,,https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=32647639,,,,,,,,,,,https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=webview,,,,,,en,,,,,,,,urn:uuid:12d055aa-7d90-4678-a1a3-df3c96c99e72,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-08 18:37:32,"University of Nevada, Reno, Museum of Natural History",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
24c0522f-da97-4ca6-acf8-7363096c4ebb,,,,,,,https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=32647639,,,,,,,,,,,https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=webview,,,,,,en,,,,,,,,urn:uuid:2b76faa5-2805-47c5-88ea-6fb78835befb,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-08 18:37:32,"University of Nevada, Reno, Museum of Natural History",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
0b8ee7f2-71d4-4dfd-9941-2cf0194a9675,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076946,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:3b3ae851-d6db-4684-8e34-720cc26be029,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:10,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
0b8ee7f2-71d4-4dfd-9941-2cf0194a9675,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076946,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:27edbab7-2e75-4b32-a2d0-ce4796fc4069,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:11,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
959debd3-88d4-4dc7-8e74-0f3303b7c08e,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076951,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:ae465161-5632-4bc0-a056-8e4d4f42863f,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:22,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
959debd3-88d4-4dc7-8e74-0f3303b7c08e,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076951,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:8d7105ba-acac-4713-9a86-3e1d56f5d5b8,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:23,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
a53f172d-5269-466e-a168-003fabcce758,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076920,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:451cd38f-880c-4a42-883c-f17093b0f871,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:52:50,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
