coreid,ac:accessURI,idigbio:dateModified,idigbio:dataQualityScore,idigbio:etag,idigbio:flags,dcterms:format,idigbio:hasSpecimen,ac:licenseLogoURL,idigbio:mediaType,dcterms:modified,idigbio:recordIds,idigbio:records,idigbio:recordsets,dcterms:rights,ac:tag,dc:type,idigbio:uuid,idigbio:version,xmpRights:WebStatement,exif:PixelXDimension,exif:PixelYDimension
ce0b172d-a331-4d0e-b652-8f45c8e3a6d3,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,be2b64e4c119c96263e2611ad906d33eb2e287b2,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:c982c9bf-cbcb-47ef-9f63-a9cf212b24f3"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076640_specimen.jpg""]","[""ce0b172d-a331-4d0e-b652-8f45c8e3a6d3""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,0493a8f4-bb3e-451e-9e93-6980cde33262,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
010563bb-6ed1-4223-b29d-1498213fa8ff,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_labels.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,c54cb5a54638243f10062250390d3063ce3ab6d0,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076646_labels.jpg"", ""urn:uuid:9fd70708-7b3b-48f5-9295-47219d4d4532""]","[""010563bb-6ed1-4223-b29d-1498213fa8ff""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,ea3736fb-9f66-4d82-8050-66b018405342,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
010563bb-6ed1-4223-b29d-1498213fa8ff,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076646_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,8c900cfcd3fdc28ad3835eaacfb1c1280875c217,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076646_specimen.jpg"", ""urn:uuid:17523e2c-69eb-4db7-8514-9c9f14c422da""]","[""010563bb-6ed1-4223-b29d-1498213fa8ff""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,9da0b409-e4d6-423f-ae17-f3c136d3d3f9,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
24c0522f-da97-4ca6-acf8-7363096c4ebb,https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=fullsize,2021-01-01T08:19:42.542857+00:00,0.45454545454545453,1b42d92db00ba6f96c24ac2c67759b4c72cf7601,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""urn:uuid:12d055aa-7d90-4678-a1a3-df3c96c99e72"", ""9fab87bf-c5a7-4296-acdc-f22859cfe620\\media\\https://api.idigbio.org/v2/media/2b624f5b3381e8c34e054048bfab1924?size=fullsize""]","[""24c0522f-da97-4ca6-acf8-7363096c4ebb""]",9fab87bf-c5a7-4296-acdc-f22859cfe620,CC0,,,b6c3615d-ec9a-493e-826d-c0ad958be179,,http://creativecommons.org/publicdomain/zero/1.0/,,
24c0522f-da97-4ca6-acf8-7363096c4ebb,https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=fullsize,2021-01-01T08:19:42.542857+00:00,0.45454545454545453,9806572bf6e873ebded905e7254f429e9dc6dc01,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""9fab87bf-c5a7-4296-acdc-f22859cfe620\\media\\https://api.idigbio.org/v2/media/6ea7ca200bbcfa6f83b2a34cfa7e1d60?size=fullsize"", ""urn:uuid:2b76faa5-2805-47c5-88ea-6fb78835befb""]","[""24c0522f-da97-4ca6-acf8-7363096c4ebb""]",9fab87bf-c5a7-4296-acdc-f22859cfe620,CC0,,,b6f00c64-9dd5-480e-888b-b23b9964184b,,http://creativecommons.org/publicdomain/zero/1.0/,,
0b8ee7f2-71d4-4dfd-9941-2cf0194a9675,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_labels.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,8dae09d56c37ef57998c318f37c47eaa8a0f6aa6,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:3b3ae851-d6db-4684-8e34-720cc26be029"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076648_labels.jpg""]","[""0b8ee7f2-71d4-4dfd-9941-2cf0194a9675""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,a54b3fb9-e901-4f21-aed1-822167a12bb4,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
0b8ee7f2-71d4-4dfd-9941-2cf0194a9675,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076648_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,f0289ce7992b3adaf709f8803638456a0105a726,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076648_specimen.jpg"", ""urn:uuid:27edbab7-2e75-4b32-a2d0-ce4796fc4069""]","[""0b8ee7f2-71d4-4dfd-9941-2cf0194a9675""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,eca2ea57-584d-4544-9e03-41b49fb63173,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
959debd3-88d4-4dc7-8e74-0f3303b7c08e,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_labels.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,57a212f0f0bd2e5243f4cacb6d33bb13c02ae262,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076653_labels.jpg"", ""urn:uuid:ae465161-5632-4bc0-a056-8e4d4f42863f""]","[""959debd3-88d4-4dc7-8e74-0f3303b7c08e""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,9ee85b91-549d-4cb8-a164-bcc091cbe462,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
959debd3-88d4-4dc7-8e74-0f3303b7c08e,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076653_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,ed1ea03f301d68bc9a47b0261b90fa732f9b2bfb,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076653_specimen.jpg"", ""urn:uuid:8d7105ba-acac-4713-9a86-3e1d56f5d5b8""]","[""959debd3-88d4-4dc7-8e74-0f3303b7c08e""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,138e1884-7e64-4fd5-a6fd-72eb4f96ed7d,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
a53f172d-5269-466e-a168-003fabcce758,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_labels.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,e059979169f2e59f654cd0140ccec825b5fea087,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:451cd38f-880c-4a42-883c-f17093b0f871"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076639_labels.jpg""]","[""a53f172d-5269-466e-a168-003fabcce758""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,d7d91380-3b89-4f43-a9a3-074603602309,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
a53f172d-5269-466e-a168-003fabcce758,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076639_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,478dcfc2bda2e51e5f89005d8b3eb011c4b1eb11,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:309d64fc-3ba6-4448-8d3c-a86a924a979f"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076639_specimen.jpg""]","[""a53f172d-5269-466e-a168-003fabcce758""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,946831e7-1684-42c8-b43a-8571d66107b0,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
e802f2ca-70b3-4ce5-9bc0-a27939455b29,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076641_labels.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,3f99b7c051c27270fc048eacd9679a3f595fa74c,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:b8fa8436-398a-494a-8557-5a8b0ebf88e8"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076641_labels.jpg""]","[""e802f2ca-70b3-4ce5-9bc0-a27939455b29""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,ca24857e-064d-4caa-aef8-d15cc9e5e1a1,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
e802f2ca-70b3-4ce5-9bc0-a27939455b29,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076641_specimen.jpg,2021-05-20T21:19:57.182713+00:00,0.45454545454545453,e87f384f097a4f0137c0ae3a7d2bdba8a1077027,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://scan-bugs.org:443/imglib/scan/misc/202103/umnh.ent.0076641_specimen.jpg"", ""urn:uuid:202e42c0-672e-47b3-87e1-a695ef49e407""]","[""e802f2ca-70b3-4ce5-9bc0-a27939455b29""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,af2d2325-9ee3-42ed-80a4-0bbd75ce470f,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
c3b218cc-87e8-4207-9409-b54f69de720a,https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=fullsize,2021-01-01T08:14:02.445505+00:00,0.45454545454545453,413f401f77ba36cc21697896dd0298aa08ffbea8,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""urn:uuid:919da788-3320-4de0-a733-7f45909b5ff7"", ""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=fullsize""]","[""c3b218cc-87e8-4207-9409-b54f69de720a""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,b03d32ec-bbde-45a9-abf6-97d694edcade,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
c3b218cc-87e8-4207-9409-b54f69de720a,https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=fullsize,2021-01-01T08:14:02.445505+00:00,0.45454545454545453,c951b3cd4115d9cec5cce4ab7eb195baf3544571,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,https://i.creativecommons.org/l/by-nc-sa/4.0/88x31.png,images,,"[""6539877e-82dc-485c-ad3d-038f383d5431\\media\\https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=fullsize"", ""urn:uuid:74872309-0824-49da-8ae2-fc67299c4bc7""]","[""c3b218cc-87e8-4207-9409-b54f69de720a""]",6539877e-82dc-485c-ad3d-038f383d5431,BY-NC-SA,,,4406ef55-05a2-4b2e-a608-b0312a9d3afe,,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
93286d62-d054-4428-b96c-7986d5a8399f,https://scan-bugs.org:443/imglib/scan/VPI_VTEC/VTEC000002/VTEC000002170_1517428721_lg.jpg,2021-01-01T08:03:43.856039+00:00,0.45454545454545453,9a2a9069f3ade8b35ebf3561242d347e49b44f06,"[""dwc_basisofrecord_invalid""]",image/jpeg,true,http://i.creativecommons.org/p/zero/1.0/88x31.png,images,,"[""4f436daa-01d5-4be6-b5c3-fdd255677536\\media\\https://scan-bugs.org:443/imglib/scan/vpi_vtec/vtec000002/vtec000002170_1517428721_lg.jpg"", ""urn:uuid:7c00b78b-742c-4624-920a-002a21f31183"", ""4f436daa-01d5-4be6-b5c3-fdd255677536\\media\\http://scan-bugs.org/imglib/scan/vpi_vtec/vtec000002/vtec000002170_1517428721_lg.jpg""]","[""93286d62-d054-4428-b96c-7986d5a8399f""]",4f436daa-01d5-4be6-b5c3-fdd255677536,CC0,,,59726939-3d4e-43cc-b02f-07d9dd9bd89d,,http://creativecommons.org/publicdomain/zero/1.0/,,
