coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
18400187,"Nomenclatural Adjustment",,"April 20, 2020",nelsoni,"Pontia occidentalis",,"(Reakirt, 1866)",,,,,,,urn:uuid:8b752473-2686-4ea7-a46c-512d048b217b,"2020-04-20 07:42:08"
18400187,unknown,,unknown,nelsoni,"Pieris occidentalis",,"Reakirt 1866",,,,,,,urn:uuid:8eaaea5f-9a47-4898-b9b6-49d6a2cb9f36,"2020-04-20 07:42:08"
18400202,N/A,,4/2020,,"Pontia occidentalis nelsoni",,"Edwards 1883",,,,,,,urn:uuid:17428231-ebd6-44f5-9b12-7951be880ce4,"2020-04-23 12:57:22"
18400202,"Nomenclatural Adjustment",,"April 20, 2020",nelsoni,"Pontia occidentalis",,"(Reakirt, 1866)",,,,,,,urn:uuid:3cc59ca6-259d-44bf-ab90-03358f705688,"2020-04-20 07:42:08"
18400202,unknown,,unknown,nelsoni,"Pieris occidentalis",,"Reakirt 1866",,,,,,,urn:uuid:66b344cc-7cea-478d-b476-8b7a7a8e0052,"2020-04-20 07:42:08"
18400141,N/A,,4/2020,,"Pontia occidentalis occidentalis",,"Reakirt 1866",,,,,,,urn:uuid:f269f730-d546-4ff8-8e7b-ae7e62526fdd,"2020-04-23 12:56:21"
18400141,"Nomenclatural Adjustment",,"April 20, 2020",occidentalis,"Pontia occidentalis",,"(Reakirt, 1866)",,,,,,,urn:uuid:1f743e45-8424-4806-aeaf-569392be93a6,"2020-04-20 07:42:08"
18400141,unknown,,unknown,occidentalis,"Pieris occidentalis",,"Reakirt 1866",,,,,,,urn:uuid:f1f3fd10-25dd-4bb8-8f4c-191d6aafdc17,"2020-04-20 07:42:08"
37131179,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:6c070281-bc48-41f3-82d3-63b7ab17dffa,"2019-03-21 09:37:24"
37129979,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:f14d98d8-fe65-4f6c-b0d0-798faddf4666,"2019-03-21 09:37:24"
37135363,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:7371e6fe-3b68-4021-968c-751732f3fcff,"2019-03-21 09:37:24"
37135362,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:81f70817-2882-4bd0-8d2f-49456b453e61,"2019-03-21 09:37:24"
37133390,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:ed71b20c-99d2-45b9-93d5-698487f1e0c1,"2019-03-21 09:37:24"
37127533,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:d1136ba5-0e82-4b8b-b998-9298fa8b7d17,"2019-03-21 09:37:24"
37131280,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:ea7b8e37-7a93-404c-8b04-20ce77e11f7d,"2019-03-21 09:37:24"
37135366,"[no agent data]",,,,"Pontia occidentalis",,,,,,,,,urn:uuid:75910ea4-65c8-4128-9e47-5e5dca863bfc,"2019-03-21 09:37:24"
