id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
53191383,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/35150707,35150707,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,"Mike Hansen",2019-11-01T00:47:50Z,,,,,,"Mike Hansen",,2019-08-03,2019,8,3,215,,"2019/08/03 1:18 PM PDT",,,,,,,,,,wild,,,,,,,"United States",Wyoming,,,,,44.96116,-109.4937933333,,,,,,,,,,,,,,,,,,"2019-11-02 22:57:40",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:c2eb9297-896f-464b-9dc7-565f560c8d63,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53191383
53263748,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/36055059,36055059,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,"Susan Blayney",2019-11-27T15:57:06Z,,,,,,"Robert Webster",,2001-06-08,2001,6,8,159,,2001-06-08T13:15:45Z,,,,,,,,,,wild,,,,,,,"United States",Colorado,,,,,39.2037774,-106.8695332,,44738,,,,,,,,,,,,,,,,"2019-11-27 15:57:06",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:d37f9833-75ec-4fd7-8845-b153c5e3407d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53263748
53263756,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/36055083,36055083,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,mike_h,2019-11-27T15:56:17Z,,,,,,"Robert Webster",,2011-08-23,2011,8,23,235,,2011-08-23T20:06:59Z,,,,,,,,,,wild,,,,,,,"United States",Colorado,,,,,37.9441333333,-107.4747166667,,,,,,,,,,,,,,,,,,"2019-11-27 15:56:17",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:139e8cae-4630-40b9-b502-05dfeeecd871,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53263756
53263848,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/36055682,36055682,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,mike_h,2019-11-27T07:33:46Z,,,,,,"Robert Webster",,2012-08-12,2012,8,12,225,,2012-08-12T15:44:33Z,,,,,,,,,,wild,,,,,,,"United States",Montana,,,,,47.3752671,-109.6387579,,451862,,,,,,,,,,,,,,,,"2019-11-27 07:33:46",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:82775bc8-a945-40c0-b4b1-5a2313afa1e9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53263848
53292297,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/36409625,36409625,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,tomoclark,2019-12-06T17:50:46Z,,,,,,tomoclark,,2019-07-21,2019,7,21,202,,"2019/07/21 8:12 AM PDT",,,,,,,,,,wild,,,,,,,"United States",California,,,,,41.5666687872,-120.244657747,,8,,,,,,,,,,,,,,,,"2019-12-07 04:25:18",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:dfb3266d-e699-455b-9ac4-db49e03a853a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53292297
53306108,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/36601081,36601081,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,"Richard J. Buist",2019-12-12T23:27:09Z,,,,,,"Richard J. Buist",,2013-08-30,2013,8,30,242,,"2013/08/30 10:31 AM CDT",,,,,,,,,,wild,,,,,,,Canada,Manitoba,,,,,50.2222690186,-97.1322125962,,611,,,,,,,,,,,,,,,,"2019-12-20 15:31:20",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:c47c8a47-ec9a-4693-b660-b9872be83614,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53306108
53361413,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/37408169,37408169,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,dnvarga,2020-01-08T21:18:35Z,,,,,,dnvarga,,2019-09-06,2019,9,6,249,,"2019/09/06 3:06 PM CDT",,,,,,,,,,wild,,,,,,,"United States","South Dakota",,,,,44.927537497,-103.3468617911,,17931,,,,,,,,,,,,,,,,"2020-01-09 19:41:50",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:02d29a9e-2c2c-444a-ada2-62326b7d3316,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53361413
53363953,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/37444990,37444990,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,"RJ Baltierra",2020-01-10T02:52:24Z,,,,,,"RJ Baltierra",,2019-09-25,2019,9,25,268,,"2019-09-25 4:35:14 PM PDT",,,,,,,,,,wild,,,,,,,"United States",Washington,,,,,46.9155787263,-121.6630583256,,574,,,,,,,,,,,,,,,,"2020-01-10 06:37:17",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:8c5e7dcc-a1c6-4669-a54c-44927a5ad36f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53363953
53379523,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/37668471,37668471,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,"Jeffery Heizer",2020-01-17T01:50:32Z,,,,,,"Jeffery Heizer",,2019-07-07,2019,7,7,188,,"2019/07/07 10:58 AM MDT",,,,,,,,,,wild,,,,,,,"United States",Colorado,,,,,38.2666477097,-104.7057003501,,61,,,,,,,,,,,,,,,,"2020-02-05 01:00:41",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:a10e2244-48a4-4909-a8ca-e2bd7c0be644,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53379523
53388409,iNaturalist,Observations,,c280e822-464b-4689-b5c5-a2bdf12b894e,HumanObservation,https://www.inaturalist.org/observations/37781806,37781806,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,mhubble,2020-01-20T15:40:13Z,,,,,,mhubble,,2019-10-17,2019,10,17,290,,"Thu Oct 17 2019 22:37:53 GMT-0700 (PDT)",,,,,,,,,,wild,,,,,,,Canada,"British Columbia",,,,,50.2639663686,-119.2462195271,,10,,,,,,,,,,,,,,,,"2020-05-12 16:01:24",http://creativecommons.org/licenses/by-nc/3.0/,"Rights for individual observations belong to the individual observers. In jurisdictions where collections of data are are considered intellectual property, the rights holder of this collection is the California Academy of Sciences.","This work is licensed under a Creative Commons Attribution-NonCommercial License: http://creativecommons.org/licenses/by-nc/4.0/. Anyone is free to access it for non-commercial use.",urn:uuid:7807a71d-8851-4a05-811e-0dfbe7646b3d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53388409
