coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
13118087,https://api.idigbio.org/v2/media/298b33f81835d0207eedb43bfc64e5f7?size=fullsize,https://api.idigbio.org/v2/media/298b33f81835d0207eedb43bfc64e5f7?size=fullsize,https://api.idigbio.org/v2/media/298b33f81835d0207eedb43bfc64e5f7?size=thumbnail,https://api.idigbio.org/v2/media/298b33f81835d0207eedb43bfc64e5f7?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:18b2ffa2-6b40-4c0d-b194-103241399b42,"2016-11-27 18:41:12",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118087,StillImage,Photograph,en
13118087,https://api.idigbio.org/v2/media/27b97d7dd079acc7dedc57e8b272aa13?size=fullsize,https://api.idigbio.org/v2/media/27b97d7dd079acc7dedc57e8b272aa13?size=fullsize,https://api.idigbio.org/v2/media/27b97d7dd079acc7dedc57e8b272aa13?size=thumbnail,https://api.idigbio.org/v2/media/27b97d7dd079acc7dedc57e8b272aa13?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:4a3cf150-3bd5-4ff8-9c88-c62061351576,"2016-11-27 18:41:12",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118087,StillImage,Photograph,en
13118104,https://api.idigbio.org/v2/media/e5b33066de335088bd9b388a5db6fc23?size=fullsize,https://api.idigbio.org/v2/media/e5b33066de335088bd9b388a5db6fc23?size=fullsize,https://api.idigbio.org/v2/media/e5b33066de335088bd9b388a5db6fc23?size=thumbnail,https://api.idigbio.org/v2/media/e5b33066de335088bd9b388a5db6fc23?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:7dc49029-6bea-4a2b-9607-1b4e8f64ccb2,"2016-11-27 18:41:12",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118104,StillImage,Photograph,en
13118104,https://api.idigbio.org/v2/media/3995a60f46dae025c3b48e182a229ad4?size=fullsize,https://api.idigbio.org/v2/media/3995a60f46dae025c3b48e182a229ad4?size=fullsize,https://api.idigbio.org/v2/media/3995a60f46dae025c3b48e182a229ad4?size=thumbnail,https://api.idigbio.org/v2/media/3995a60f46dae025c3b48e182a229ad4?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:30fcaa9b-9544-4921-8ee0-4ac2b7ac31fd,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118104,StillImage,Photograph,en
13118106,https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=fullsize,https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=fullsize,https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=thumbnail,https://api.idigbio.org/v2/media/a6bcb72d3aef7ce2af752f9c104e2a55?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:919da788-3320-4de0-a733-7f45909b5ff7,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118106,StillImage,Photograph,en
13118106,https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=fullsize,https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=fullsize,https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=thumbnail,https://api.idigbio.org/v2/media/2bd84e9c9604ee882f076a2e470ed77f?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:74872309-0824-49da-8ae2-fc67299c4bc7,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118106,StillImage,Photograph,en
13118167,https://api.idigbio.org/v2/media/6cd8f467d01147d8a805f288edc16c35?size=fullsize,https://api.idigbio.org/v2/media/6cd8f467d01147d8a805f288edc16c35?size=fullsize,https://api.idigbio.org/v2/media/6cd8f467d01147d8a805f288edc16c35?size=thumbnail,https://api.idigbio.org/v2/media/6cd8f467d01147d8a805f288edc16c35?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f4dcf179-30ba-4617-b007-e2d763ada29c,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118167,StillImage,Photograph,en
13118167,https://api.idigbio.org/v2/media/4302c3f7e022c7b33d2e4028f52b1759?size=fullsize,https://api.idigbio.org/v2/media/4302c3f7e022c7b33d2e4028f52b1759?size=fullsize,https://api.idigbio.org/v2/media/4302c3f7e022c7b33d2e4028f52b1759?size=thumbnail,https://api.idigbio.org/v2/media/4302c3f7e022c7b33d2e4028f52b1759?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:4d225444-be88-4124-91da-7532a39dec00,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118167,StillImage,Photograph,en
13118170,https://api.idigbio.org/v2/media/9a69387942eec55940000994454a27d6?size=fullsize,https://api.idigbio.org/v2/media/9a69387942eec55940000994454a27d6?size=fullsize,https://api.idigbio.org/v2/media/9a69387942eec55940000994454a27d6?size=thumbnail,https://api.idigbio.org/v2/media/9a69387942eec55940000994454a27d6?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:52de777d-de49-46a3-8aae-b9a8dddbbee3,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118170,StillImage,Photograph,en
13118170,https://api.idigbio.org/v2/media/f792bd80b70ff9a80652a911e34fb7b5?size=fullsize,https://api.idigbio.org/v2/media/f792bd80b70ff9a80652a911e34fb7b5?size=fullsize,https://api.idigbio.org/v2/media/f792bd80b70ff9a80652a911e34fb7b5?size=thumbnail,https://api.idigbio.org/v2/media/f792bd80b70ff9a80652a911e34fb7b5?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:afbd71e0-97dd-44ad-b5e4-e1f2e8058440,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118170,StillImage,Photograph,en
13118171,https://api.idigbio.org/v2/media/d0dc852cd198657100ff9d241e8abcc0?size=fullsize,https://api.idigbio.org/v2/media/d0dc852cd198657100ff9d241e8abcc0?size=fullsize,https://api.idigbio.org/v2/media/d0dc852cd198657100ff9d241e8abcc0?size=thumbnail,https://api.idigbio.org/v2/media/d0dc852cd198657100ff9d241e8abcc0?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:c448a9c8-d092-41fd-a6c1-b514fae189cb,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118171,StillImage,Photograph,en
13118171,https://api.idigbio.org/v2/media/4e3691952a74937931d9c94ed0c92838?size=fullsize,https://api.idigbio.org/v2/media/4e3691952a74937931d9c94ed0c92838?size=fullsize,https://api.idigbio.org/v2/media/4e3691952a74937931d9c94ed0c92838?size=thumbnail,https://api.idigbio.org/v2/media/4e3691952a74937931d9c94ed0c92838?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:d241754e-a876-4cbe-992e-ff9533425eec,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118171,StillImage,Photograph,en
13118175,https://api.idigbio.org/v2/media/c2edcff0bb31eff5f605949036587616?size=fullsize,https://api.idigbio.org/v2/media/c2edcff0bb31eff5f605949036587616?size=fullsize,https://api.idigbio.org/v2/media/c2edcff0bb31eff5f605949036587616?size=thumbnail,https://api.idigbio.org/v2/media/c2edcff0bb31eff5f605949036587616?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3246389b-5d2c-49b7-a574-52e088b48ffe,"2016-11-27 18:41:13",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118175,StillImage,Photograph,en
13118175,https://api.idigbio.org/v2/media/8560d0d2c67b6f48c112934e3ecdc899?size=fullsize,https://api.idigbio.org/v2/media/8560d0d2c67b6f48c112934e3ecdc899?size=fullsize,https://api.idigbio.org/v2/media/8560d0d2c67b6f48c112934e3ecdc899?size=thumbnail,https://api.idigbio.org/v2/media/8560d0d2c67b6f48c112934e3ecdc899?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:52f9db02-4e78-40cd-88ed-22c34001ad27,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118175,StillImage,Photograph,en
13118218,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=fullsize,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=fullsize,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=thumbnail,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:e5946a7c-5c66-456b-b504-ee1b939ab2d0,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118218,StillImage,Photograph,en
13118218,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=fullsize,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=fullsize,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=thumbnail,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f5804400-38f6-4a1c-928a-9a9a126a9b72,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118218,StillImage,Photograph,en
13118252,https://api.idigbio.org/v2/media/5b9e8ef9bdcb3282b672bb728f7041ef?size=fullsize,https://api.idigbio.org/v2/media/5b9e8ef9bdcb3282b672bb728f7041ef?size=fullsize,https://api.idigbio.org/v2/media/5b9e8ef9bdcb3282b672bb728f7041ef?size=thumbnail,https://api.idigbio.org/v2/media/5b9e8ef9bdcb3282b672bb728f7041ef?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:952fd3c1-32fb-475f-8fb0-1d34604d850c,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118252,StillImage,Photograph,en
13118252,https://api.idigbio.org/v2/media/eb548fd5956e448f0d03cf1eb1b5c275?size=fullsize,https://api.idigbio.org/v2/media/eb548fd5956e448f0d03cf1eb1b5c275?size=fullsize,https://api.idigbio.org/v2/media/eb548fd5956e448f0d03cf1eb1b5c275?size=thumbnail,https://api.idigbio.org/v2/media/eb548fd5956e448f0d03cf1eb1b5c275?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:6b2783ec-51b0-4b9d-99d3-56cfebba9ee6,"2016-11-27 18:41:14",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118252,StillImage,Photograph,en
13118263,https://api.idigbio.org/v2/media/98e2837bb9619adde9e79ead3216b361?size=fullsize,https://api.idigbio.org/v2/media/98e2837bb9619adde9e79ead3216b361?size=fullsize,https://api.idigbio.org/v2/media/98e2837bb9619adde9e79ead3216b361?size=thumbnail,https://api.idigbio.org/v2/media/98e2837bb9619adde9e79ead3216b361?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:6802eb56-b35f-4623-ba97-241aeecadc10,"2016-11-27 18:41:15",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118263,StillImage,Photograph,en
13118263,https://api.idigbio.org/v2/media/70a83d13485da21f7a3c481cf9ac05f1?size=fullsize,https://api.idigbio.org/v2/media/70a83d13485da21f7a3c481cf9ac05f1?size=fullsize,https://api.idigbio.org/v2/media/70a83d13485da21f7a3c481cf9ac05f1?size=thumbnail,https://api.idigbio.org/v2/media/70a83d13485da21f7a3c481cf9ac05f1?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:da81bfd8-1060-4dcc-a8d4-61b583df21d9,"2016-11-27 18:41:15",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118263,StillImage,Photograph,en
13118332,https://api.idigbio.org/v2/media/b9990d1977f0f15a953b46ff5528b514?size=fullsize,https://api.idigbio.org/v2/media/b9990d1977f0f15a953b46ff5528b514?size=fullsize,https://api.idigbio.org/v2/media/b9990d1977f0f15a953b46ff5528b514?size=thumbnail,https://api.idigbio.org/v2/media/b9990d1977f0f15a953b46ff5528b514?size=webview,,"Natural History Museum of Utah","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f6cf3a65-b747-48f0-b4ad-e4b4d2e96e50,"2016-11-27 18:41:15",image/jpeg,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118332,StillImage,Photograph,en
