coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
43868443,"Sangmi Lee (ORCID 0000-0002-9636-8242)",,2016,,"Pieris rapae",,"(Linnaeus, 1758)",,,,,,,urn:uuid:538de360-e9d7-438b-af7b-1d1dc011ff03,"2023-05-09 14:25:00"
20419637,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:4cd1c745-ed99-4bb9-b5e3-039a4ac2d332,"2017-04-05 19:32:48"
20389160,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:621d8ae6-4086-49b5-96db-5cedf621b0c6,"2017-04-05 19:32:48"
20378200,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:46ba31b4-ccff-4b17-87a6-bdc186f35bab,"2017-04-05 19:32:48"
20382810,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:8bc0a2f7-0aff-49ff-9d2b-655cc944fe6d,"2017-04-05 19:32:48"
20420064,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:424d5dc1-384d-4921-88f1-8812eb55c5ca,"2017-04-05 19:32:48"
20366185,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:9050d39f-89a3-4c6d-869b-6d4ac4b37c51,"2017-04-05 19:32:48"
20378204,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:009dd1de-f724-4323-99b2-fd7d097d0187,"2017-04-05 19:32:48"
20382888,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:cf2951bf-06dc-464b-8efe-714f9f627765,"2017-04-05 19:32:48"
20379881,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:c1e82864-cd1a-4f8f-94a9-307fb321d52d,"2017-04-05 19:32:48"
20409439,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:9df0e740-1da1-4e28-968d-3762696e9cb4,"2017-04-05 19:32:48"
20308877,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:e11ba880-2dc1-4787-9584-5866b31c22a4,"2017-04-05 19:32:48"
20378254,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:fe6facbd-791e-48e4-a32b-79346e03ad28,"2017-04-05 19:32:48"
20380377,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:ec2cb9c6-ae63-43c8-b148-c377945f0603,"2017-04-05 19:32:48"
20401404,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:343db223-0a80-4938-9e9b-244f7fd0f9f1,"2017-04-05 19:32:48"
20308878,"[no agent data]",,,,"Pieris rapae rapae",,,,,,,,,urn:uuid:750e7fb6-a4ab-4874-8684-ff5e8a9620d7,"2017-04-05 19:32:48"
20378257,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:13942aa0-cdb4-49d0-ad56-260e2c1d6b7c,"2017-04-05 19:32:48"
20378299,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:c419a696-2587-4bf6-88b9-9436e8f6641c,"2017-04-05 19:32:48"
20380456,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:c65c61fc-a44a-4c25-b87c-f770765661bb,"2017-04-05 19:32:48"
20374023,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:c1dbd13d-80c1-4eb7-a14d-94157361fa7b,"2017-04-05 19:32:48"
20308880,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:40f884c3-44ed-4907-a99a-a102bbae3e8a,"2017-04-05 19:32:48"
20382891,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:546b9cf4-a05e-4f16-9834-c7ab6dadf63a,"2017-04-05 19:32:48"
20378780,"[no agent data]",,,,"Pieris rapae rapae",,,,,,,,,urn:uuid:99784e7d-412e-4ba1-a335-3ce4215c92dd,"2017-04-05 19:32:48"
20380699,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:917d8e7c-3182-4ee3-8484-2795a05f1d4b,"2017-04-05 19:32:48"
20377341,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:b8f18d26-2892-4106-9ca2-0e590b31936f,"2017-04-05 19:32:48"
37133894,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:31e99d5c-ad58-4fc6-aa92-af05dc9d6ef1,"2019-03-21 09:37:24"
20383340,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:0099c6b4-85d6-4619-99eb-4c654fe76d47,"2017-04-05 19:32:48"
20378959,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:9073f89d-706b-47b1-9c45-53f9a3157926,"2017-04-05 19:32:48"
20380951,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:c8697a7a-197d-4fcb-9505-c5de7647ba6d,"2017-04-05 19:32:48"
20381046,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:aac56b66-b737-4ad0-96dd-c37206cde295,"2017-04-05 19:32:48"
37125706,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:d07a4c69-dc3c-492b-b8ea-00531903f439,"2019-03-21 09:37:24"
20383730,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:6f4adc88-5a9e-4a9b-8f33-998352995860,"2017-04-05 19:32:48"
20379367,"[no agent data]",,,,Lepidoptera,,,,,,,,"Pieris rapae ♀",urn:uuid:5a63073d-2093-4240-9ad0-bc177f15d0e1,"2017-04-05 19:32:48"
20381192,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:907a7532-bd24-437b-ae72-41994debdabe,"2017-04-05 19:32:48"
13642026,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:5bc71927-4423-4b02-a915-e578895e5f5f,"2017-04-05 19:32:48"
20384013,"[no agent data]",,,,"Pieris rapae",,,,,,,,,urn:uuid:d5e5189e-42d5-483f-82e3-11aeddc1e102,"2017-04-05 19:32:48"
