coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedObservationReference,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:temporal,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedOccurrences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:preparations,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,symbiota:recordID,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
9a0b1dca-af74-4f69-a24b-ed54f7726a4f,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212408.JPG,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57393620,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212408_lg.jpg,,,,,,en,,,,,,,,urn:uuid:5fb949d1-3e93-46c1-830b-1ae420849826,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212408_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212408.JPG,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19 08:44:12,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
1e836cd4-f39f-477b-88aa-124b5a426b05,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212421.JPG,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57393630,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212421_lg.jpg,,,,,,en,,,,,,,,urn:uuid:a9399642-356f-40ac-9ae5-b9a4e5b1718a,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212421_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212421.JPG,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19 08:44:16,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
46c03819-79d1-42db-bd5b-22c095cc5fc2,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212512.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57393760,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212512_lg.jpg,,,,,,en,,,,,,,,urn:uuid:77aec5be-6773-4d99-85ad-17d6f74748e2,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212512_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212512.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19 08:54:56,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
e0dcdd69-01fd-4cdc-a1ca-8e4ec5046d7f,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:494e8a2b-12dd-4eee-a966-485303af56f3/full/!1920,1920/0/default.jpg",,,,,,,,irn:101364,,2011,,,,,,,,,en,,,,,,,,urn:uuid:494e8a2b-12dd-4eee-a966-485303af56f3,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:494e8a2b-12dd-4eee-a966-485303af56f3,,,,,,CC0,,,,Pieris rapae (YPM ENT 815138). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:40Z,,,http://hdl.handle.net/10079/8931zqj/
094299f0-9617-4cb6-aaba-febc33bd7943,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:afe3b3fc-3ef2-448c-8f56-ca63074da78a/full/!1920,1920/0/default.jpg",,,,,,,,irn:101627,,2011,,,,,,,,,en,,,,,,,,urn:uuid:afe3b3fc-3ef2-448c-8f56-ca63074da78a,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:afe3b3fc-3ef2-448c-8f56-ca63074da78a,,,,,,CC0,,,,Pieris rapae (YPM ENT 815454). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:42Z,,,http://hdl.handle.net/10079/8931zqj/
aea6605b-1880-43d6-88e7-710b56c4a28b,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:61aff1e3-8611-435a-9d7f-16247f59cb80/full/!1920,1920/0/default.jpg",,,,,,,,irn:101652,,2011,,,,,,,,,en,,,,,,,,urn:uuid:61aff1e3-8611-435a-9d7f-16247f59cb80,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:61aff1e3-8611-435a-9d7f-16247f59cb80,,,,,,CC0,,,,Pieris rapae (YPM ENT 815180). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:42Z,,,http://hdl.handle.net/10079/8931zqj/
682d519c-8a59-4cba-854d-faed5059234f,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:bf96c43a-5e0a-478e-829c-99786052970b/full/!1920,1920/0/default.jpg",,,,,,,,irn:101694,,2011,,,,,,,,,en,,,,,,,,urn:uuid:bf96c43a-5e0a-478e-829c-99786052970b,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:bf96c43a-5e0a-478e-829c-99786052970b,,,,,,CC0,,,,Pieris rapae (YPM ENT 815087). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:43Z,,,http://hdl.handle.net/10079/8931zqj/
fb9c1625-0da1-4257-a054-24264fa6c6be,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:8abe7d2e-e157-4852-98fa-77a2ce834294/full/!1920,1920/0/default.jpg",,,,,,,,irn:101407,,2011,,,,,,,,,en,,,,,,,,urn:uuid:8abe7d2e-e157-4852-98fa-77a2ce834294,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:8abe7d2e-e157-4852-98fa-77a2ce834294,,,,,,CC0,,,,Pieris rapae (YPM ENT 815045). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:40Z,,,http://hdl.handle.net/10079/8931zqj/
31ced189-1a6c-44d4-b1c7-9c82d77d7392,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:d2a219ec-409a-466e-a3bf-e7d9d78f8831/full/!1920,1920/0/default.jpg",,,,,,,,irn:101317,,2011,,,,,,,,,en,,,,,,,,urn:uuid:d2a219ec-409a-466e-a3bf-e7d9d78f8831,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:d2a219ec-409a-466e-a3bf-e7d9d78f8831,,,,,,CC0,,,,Pieris rapae (YPM ENT 815457). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:39Z,,,http://hdl.handle.net/10079/8931zqj/
d016c93a-7a22-4006-8274-57db08598200,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:40579977-9fa7-417e-bfae-3c4388a51f4d/full/!1920,1920/0/default.jpg",,,,,,,,irn:101620,,2011,,,,,,,,,en,,,,,,,,urn:uuid:40579977-9fa7-417e-bfae-3c4388a51f4d,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:40579977-9fa7-417e-bfae-3c4388a51f4d,,,,,,CC0,,,,Pieris rapae (YPM ENT 815469). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:42Z,,,http://hdl.handle.net/10079/8931zqj/
