gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
5007744163	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/397188267/original.jpeg	https://www.inaturalist.org/photos/397188267					2024-06-20T18:59:13Z	Beth Pratt		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Beth Pratt
5007704982	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/295200271/original.jpg	https://www.inaturalist.org/photos/295200271					2023-06-29T14:33:30Z	sarahhays218		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarahhays218
5007704982	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/295034232/original.jpg	https://www.inaturalist.org/photos/295034232					2023-06-29T14:33:30Z	sarahhays218		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sarahhays218
5007664724	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461317223/original.jpeg	https://www.inaturalist.org/photos/461317223					2024-12-26T18:17:14Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
5007636376	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/461755745/original.jpeg	https://www.inaturalist.org/photos/461755745					2024-08-18T20:17:35Z	Eric Lamb		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Eric Lamb
5007587446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459004621/original.jpg	https://www.inaturalist.org/photos/459004621					2015-06-24T15:38:34Z	Bruce Newhouse		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruce Newhouse
5007587446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459004617/original.jpg	https://www.inaturalist.org/photos/459004617					2015-06-24T15:38:29Z	Bruce Newhouse		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruce Newhouse
5007587446	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459004615/original.jpg	https://www.inaturalist.org/photos/459004615					2015-06-24T15:38:47Z	Bruce Newhouse		iNaturalist	http://creativecommons.org/licenses/by-nc-nd/4.0/	Bruce Newhouse
5007566556	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/460868787/original.jpg	https://www.inaturalist.org/photos/460868787					2023-08-07T23:28:51Z	Richard J. Buist		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Richard J. Buist
5007440644	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459322380/original.jpg	https://www.inaturalist.org/photos/459322380					2021-07-07T23:47:27Z	John Christensen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John Christensen
5007406994	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/458300769/original.jpeg	https://www.inaturalist.org/photos/458300769					2024-12-17T03:13:42Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
5007261851	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396586191/original.jpeg	https://www.inaturalist.org/photos/396586191					2024-06-14T18:07:10Z	sandor_in		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sandor_in
5007261851	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/396586197/original.jpeg	https://www.inaturalist.org/photos/396586197					2024-06-14T18:06:15Z	sandor_in		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sandor_in
5007240733	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322464751/original.jpeg	https://www.inaturalist.org/photos/322464751					2023-09-23T20:01:00Z	Andy Bridges		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Bridges
5007092579	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/410207681/original.jpg	https://www.inaturalist.org/photos/410207681					2024-07-07T20:07:25Z	yukonsteve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	yukonsteve
5007054387	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/411292751/original.jpeg	https://www.inaturalist.org/photos/411292751					2024-07-21T18:12:36Z	Hannah Girgente		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Hannah Girgente
5007035175	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/424845192/original.jpg	https://www.inaturalist.org/photos/424845192					2024-07-08T22:28:19Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
5007035175	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/424845252/original.jpg	https://www.inaturalist.org/photos/424845252					2024-07-08T22:28:58Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
5007035175	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/424845218/original.jpg	https://www.inaturalist.org/photos/424845218					2024-07-08T22:28:57Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
5007007079	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322015348/original.jpeg	https://www.inaturalist.org/photos/322015348					2023-09-22T17:39:06Z	Andy Bridges		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Bridges
5007007079	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322015345/original.jpeg	https://www.inaturalist.org/photos/322015345					2023-09-22T17:38:24Z	Andy Bridges		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Bridges
5007007079	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/322015340/original.jpeg	https://www.inaturalist.org/photos/322015340					2023-09-22T17:38:22Z	Andy Bridges		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andy Bridges
5007001830	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459322483/original.jpg	https://www.inaturalist.org/photos/459322483					2021-07-09T03:22:33Z	John Christensen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John Christensen
5006861742	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/459070235/original.jpeg	https://www.inaturalist.org/photos/459070235					2024-12-20T17:15:57Z	Norbert Kondla		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norbert Kondla
